,Application,Object_Name,Object_Type,COUNT.Version.Changes,Defect,fit.cluster
0,C,/DSD/CL_IM_VC_SD_ROUTE        IF_EX_BADI_SD_ROUTE~ROUTE_DETERMINATION,METH,7,0,2
1,A,/LOT/CL_IM_SD_SALES_ORDER     IF_EX_BADI_SD_SALES~SAVE_DOCUMENT_PREPARE_PART2,METH,19,5,2
2,I,/MRSS/RSG_PM_ORDER_PUSH_TO_MRS,FUNC,5,0,2
3,J,/MSAFX/EDITOR_VISUALIZAR,PROG,5,0,2
4,D,/MSAFX/EHPSPOT,ENHS,5,0,2
5,C,/MSAFX/EHPSPOTSCN,ENHS,5,0,2
6,E,/MSAFX/INTERFACE,FUGR,5,0,2
7,B,/MSAFX/MANUT,FUGR,5,0,2
8,E,/MSAFX/MANUT_TAB,FUGR,5,0,2
9,D,/MSAFX/MSAFD147,PROG,5,0,2
10,G,/MSAFX/MSAFD148,PROG,5,0,2
11,H,/MSAFX/MSAFDB,PROG,5,0,2
12,D,/MSAFX/MSAFF001,PROG,5,0,2
13,J,/MSAFX/MSAFF002,PROG,5,0,2
14,G,/MSAFX/MSAFF003,PROG,5,0,2
15,C,/MSAFX/MSAFF004,PROG,5,0,2
16,D,/MSAFX/MSAFF005,PROG,5,0,2
17,J,/MSAFX/MSAFF006,PROG,5,0,2
18,C,/MSAFX/MSAFF007,PROG,5,0,2
19,H,/MSAFX/MSAFF008,PROG,5,0,2
20,G,/MSAFX/MSAFF009,PROG,5,0,2
21,H,/MSAFX/MSAFF010,PROG,5,0,2
22,D,/MSAFX/MSAFF011,PROG,5,0,2
23,D,/MSAFX/MSAFF012,PROG,5,0,2
24,C,/MSAFX/MSAFF013,PROG,5,0,2
25,E,/MSAFX/MSAFF014,PROG,5,0,2
26,I,/MSAFX/MSAFF015,PROG,5,0,2
27,D,/MSAFX/MSAFF016,PROG,5,0,2
28,C,/MSAFX/MSAFF017,PROG,5,0,2
29,G,/MSAFX/MSAFF018,PROG,5,0,2
30,A,/MSAFX/MSAFF019,PROG,5,0,2
31,D,/MSAFX/MSAFF021,PROG,5,0,2
32,J,/MSAFX/MSAFF022,PROG,5,0,2
33,J,/MSAFX/MSAFF024,PROG,5,0,2
34,E,/MSAFX/MSAFF026,PROG,5,0,2
35,E,/MSAFX/MSAFF031,PROG,5,0,2
36,B,/MSAFX/MSAFF032,PROG,5,0,2
37,H,/MSAFX/MSAFF036,PROG,5,0,2
38,D,/MSAFX/MSAFF037,PROG,5,0,2
39,A,/MSAFX/MSAFF038,PROG,5,0,2
40,C,/MSAFX/MSAFF039,PROG,5,0,2
41,B,/MSAFX/MSAFF040,PROG,5,0,2
42,J,/MSAFX/MSAFF040_HR,PROG,5,0,2
43,J,/MSAFX/MSAFF041,PROG,5,0,2
44,I,/MSAFX/MSAFF041_HR,PROG,5,0,2
45,A,/MSAFX/MSAFF042,PROG,5,0,2
46,C,/MSAFX/MSAFF042_HR,PROG,5,0,2
47,G,/MSAFX/MSAFF043,PROG,5,0,2
48,I,/MSAFX/MSAFF043_HR,PROG,5,0,2
49,G,/MSAFX/MSAFF044,PROG,5,0,2
50,I,/MSAFX/MSAFF044_HR,PROG,5,0,2
51,A,/MSAFX/MSAFF045,PROG,5,0,2
52,G,/MSAFX/MSAFF045_HR,PROG,5,0,2
53,F,/MSAFX/MSAFF046,PROG,5,0,2
54,H,/MSAFX/MSAFF046_HR,PROG,5,0,2
55,F,/MSAFX/MSAFF047,PROG,5,0,2
56,F,/MSAFX/MSAFF048,PROG,5,0,2
57,B,/MSAFX/MSAFF050_HR,PROG,5,0,2
58,G,/MSAFX/MSAFF051,PROG,5,0,2
59,A,/MSAFX/MSAFF052_HR,PROG,5,0,2
60,H,/MSAFX/MSAFF053_HR,PROG,5,0,2
61,H,/MSAFX/MSAFF054_HR,PROG,5,0,2
62,C,/MSAFX/MSAFF056,PROG,5,0,2
63,A,/MSAFX/MSAFF057,PROG,5,0,2
64,F,/MSAFX/MSAFF058,PROG,5,0,2
65,G,/MSAFX/MSAFF059,PROG,5,0,2
66,I,/MSAFX/MSAFF060,PROG,5,0,2
67,D,/MSAFX/MSAFF061,PROG,5,0,2
68,C,/MSAFX/MSAFF062,PROG,5,0,2
69,G,/MSAFX/MSAFF064,PROG,5,0,2
70,G,/MSAFX/MSAFF065,PROG,5,0,2
71,H,/MSAFX/MSAFF108,REPS,5,0,2
72,G,/MSAFX/MSAFF119,REPS,5,0,2
73,E,/MSAFX/MSAFF119,REPT,5,0,2
74,J,/MSAFX/MSAFF128,REPS,5,0,2
75,I,/MSAFX/MSAFF128,REPT,5,0,2
76,H,/MSAFX/MSAFF129,REPS,5,0,2
77,I,/MSAFX/MSAFF129,REPT,5,0,2
78,C,/MSAFX/MSAFF145,PROG,5,0,2
79,G,/MSAFX/MSAFF147,PROG,5,0,2
80,J,/MSAFX/MSAFF148,PROG,5,0,2
81,G,/MSAFX/MSAFF153,REPS,5,0,2
82,G,/MSAFX/MSAFF2054,REPS,5,0,2
83,H,/MSAFX/MSAFF2054,REPT,5,0,2
84,E,/MSAFX/MSAFS001,PROG,5,0,2
85,H,/MSAFX/MSAFS002,PROG,5,0,2
86,F,/MSAFX/MSAFS003,PROG,5,0,2
87,E,/MSAFX/MSAFS004,PROG,5,0,2
88,J,/MSAFX/MSAFS005,PROG,5,0,2
89,H,/MSAFX/MSAFS006,PROG,5,0,2
90,A,/MSAFX/MSAFS007,PROG,5,0,2
91,A,/MSAFX/MSAFS008,PROG,5,0,2
92,H,/MSAFX/MSAFS009,PROG,5,0,2
93,I,/MSAFX/MSAFS010,PROG,5,0,2
94,B,/MSAFX/MSAFS011,PROG,5,0,2
95,J,/MSAFX/MSAFS012,PROG,5,0,2
96,B,/MSAFX/MSAFS013,PROG,5,0,2
97,F,/MSAFX/MSAFS014,PROG,5,0,2
98,F,/MSAFX/MSAFS015,PROG,5,0,2
99,F,/MSAFX/MSAFS016,PROG,5,0,2
100,G,/MSAFX/MSAFS017,PROG,5,0,2
101,I,/MSAFX/MSAFS018,PROG,5,0,2
102,B,/MSAFX/MSAFS019,PROG,5,0,2
103,C,/MSAFX/MSAFS021,PROG,5,0,2
104,C,/MSAFX/MSAFS022,PROG,5,0,2
105,I,/MSAFX/MSAFS024,PROG,5,0,2
106,C,/MSAFX/MSAFS026,PROG,5,0,2
107,G,/MSAFX/MSAFS031,PROG,5,0,2
108,C,/MSAFX/MSAFS032,PROG,5,0,2
109,J,/MSAFX/MSAFS036,PROG,5,0,2
110,C,/MSAFX/MSAFS037,PROG,5,0,2
111,F,/MSAFX/MSAFS038,PROG,5,0,2
112,D,/MSAFX/MSAFS039,PROG,5,0,2
113,H,/MSAFX/MSAFS040,PROG,5,0,2
114,E,/MSAFX/MSAFS040_HR,PROG,5,0,2
115,D,/MSAFX/MSAFS041,PROG,5,0,2
116,G,/MSAFX/MSAFS041_HR,PROG,5,0,2
117,H,/MSAFX/MSAFS042,PROG,5,0,2
118,C,/MSAFX/MSAFS042_HR,PROG,5,0,2
119,G,/MSAFX/MSAFS043,PROG,5,0,2
120,F,/MSAFX/MSAFS043_HR,PROG,5,0,2
121,H,/MSAFX/MSAFS044,PROG,5,0,2
122,B,/MSAFX/MSAFS044_HR,PROG,5,0,2
123,F,/MSAFX/MSAFS045,PROG,5,0,2
124,B,/MSAFX/MSAFS045_HR,PROG,5,0,2
125,I,/MSAFX/MSAFS046,PROG,5,0,2
126,H,/MSAFX/MSAFS046_HR,PROG,5,0,2
127,H,/MSAFX/MSAFS047,PROG,5,0,2
128,C,/MSAFX/MSAFS048,PROG,5,0,2
129,I,/MSAFX/MSAFS050_HR,PROG,5,0,2
130,D,/MSAFX/MSAFS051,PROG,5,0,2
131,E,/MSAFX/MSAFS052_HR,PROG,5,0,2
132,A,/MSAFX/MSAFS053_HR,PROG,5,0,2
133,A,/MSAFX/MSAFS054_HR,PROG,5,0,2
134,F,/MSAFX/MSAFS056,PROG,5,0,2
135,A,/MSAFX/MSAFS057,PROG,5,0,2
136,C,/MSAFX/MSAFS058,PROG,5,0,2
137,F,/MSAFX/MSAFS059,PROG,5,0,2
138,I,/MSAFX/MSAFS060,PROG,5,0,2
139,F,/MSAFX/MSAFS061,PROG,5,0,2
140,A,/MSAFX/MSAFS062,PROG,5,0,2
141,B,/MSAFX/MSAFS064,PROG,5,0,2
142,H,/MSAFX/MSAFS065,PROG,5,0,2
143,D,/MSAFX/MSAFS108,REPS,5,0,2
144,E,/MSAFX/MSAFS119,REPS,5,0,2
